name,ingredients,dietary,cuisine,cooking_time,ingredient_quantities,ingredient_units
Spaghetti Pomodoro,"spaghetti,tomatoes,olive oil,garlic,basil","vegetarian","Italian",25,"200,300,50,5,10","grams,grams,ml,grams,grams"
Margherita Pizza,"pizza dough,tomatoes,mozzarella,basil,olive oil","vegetarian","Italian",40,"250,150,125,5,10","grams,grams,grams,grams,ml"
Pasta Carbonara,"spaghetti,eggs,pancetta,parmesan,black pepper","none","Italian",30,"200,2,100,50,2","grams,units,grams,grams,grams"
Lasagna Bolognese,"lasagna sheets,ground beef,tomato sauce,ricotta,parmesan","none","Italian",60,"200,150,200,100,50","grams,grams,grams,grams,grams"
Risotto Funghi,"arborio rice,mushrooms,parmesan,butter,vegetable broth","vegetarian","Italian",35,"200,150,50,30,500","grams,grams,grams,grams,ml"
Caprese Salad,"tomatoes,mozzarella,basil,olive oil,salt","vegetarian","Italian",10,"200,150,10,10,2","grams,grams,grams,ml,grams"
Pasta Puttanesca,"spaghetti,olives,capers,tomatoes,garlic,anchovies","none","Italian",25,"200,50,20,200,5,30","grams,grams,grams,grams,grams,grams"
Tiramisu,"mascarpone,eggs,sugar,coffee,ladyfingers,cocoa powder","vegetarian","Italian",45,"250,3,50,150,100,10","grams,units,grams,ml,grams,grams"
Gnocchi al Pesto,"potatoes,flour,basil,parmesan,olive oil,garlic","vegetarian","Italian",30,"300,100,30,50,30,5","grams,grams,grams,grams,ml,grams"
Osso Buco,"veal shanks,carrots,onion,celery,tomatoes,white wine","none","Italian",120,"2,100,50,50,200,100","units,grams,grams,grams,grams,ml"
Sushi Roll,"rice,nori,raw salmon,avocado,cucumber","none","Japanese",30,"200,5,100,50,50","grams,sheets,grams,grams,grams"
Miso Soup,"miso paste,tofu,seaweed,green onion,water","vegetarian","Japanese",15,"50,100,10,5,500","grams,grams,grams,grams,ml"
Tempura Vegetables,"vegetables,flour,egg,water,oil","vegetarian","Japanese",25,"200,100,1,150,50","grams,grams,units,ml,ml"
